ID_code_region;Nom_region;Population_region;Zone_vacances
1;Guadeloupe;388727;
2;Martinique;365734;
3;Guyane;287355;
4;La Réunion;872635;
11;Île-de-France;12384734;C
24;Centre-Val de Loire;2632683;B
27;Bourgogne-Franche-Comté;2874404;A
28;Normandie;3396314;B
32;Hauts-de-France;6088410;B
44;Grand Est;5668492;B
52;Pays de la Loire;3922846;B
53;Bretagne;3463439;B
75;Nouvelle-Aquitaine;6171721;A
76;Occitanie;6097513;C
84;Auvergne-Rhône-Alpes;8250506;A
93;Provence-Alpes-Côte d'Azur;5174034;B
94;Corse;348760;
